Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,AIR,3009414,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,V31698600,PIN,AML,4/09/2020,21/09/2020,17/09/2020,,16,1,,11,-2,0,0
20 - Parts Item,AIR,3009426,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,G438810472072,TRIMBLE GNSS RECEIVER,AML,8/09/2020,23/09/2020,17/09/2020,,"6,139",3,,11,-4,0,0
20 - Parts Item,AIR,3009433,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,897466M91,LINK,AML,9/09/2020,4/11/2020,,,27,1,,40,0,0,0
20 - Parts Item,AIR,3009451,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,X991450036000,SEAT COVER,AML,11/09/2020,29/10/2020,3/11/2020,,124,1,,34,3,0,0
20 - Parts Item,AIR,3009456,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,9.45201E+11,PERFORATED PLATE,AML,14/09/2020,25/09/2020,22/09/2020,,25,1,,9,-3,0,0
20 - Parts Item,AIR,3009469,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,ACG0006710,SIDE PLATE RED,AML,16/09/2020,4/11/2020,,,95,1,,35,0,0,0
20 - Parts Item,AIR,3009469,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,ACG0006800,PLATE RED,AML,16/09/2020,4/11/2020,,,95,1,,35,0,0,0
20 - Parts Item,AIR,3009479,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,1.99104E+11,GEAR,AML,17/09/2020,4/11/2020,,,176,1,,34,0,0,0
20 - Parts Item,AIR,3009492,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACW2337150,IDLER PULLEY,AML,21/09/2020,4/11/2020,,,60,1,,32,0,0,0
20 - Parts Item,AIR,3009494,AUD,45,80050 - AGCO GMBH,          ,PTSPUR2,AL5040067,SEALING KIT LCS ERGO,AML,22/09/2020,19/10/2020,22/10/2020,,245,2,,19,3,0,0
20 - Parts Item,AIR,3009499,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACW076697A,GRAIN ELEVATOR DOOR,AML,22/09/2020,4/11/2020,,,344,1,,31,0,0,0
20 - Parts Item,AIR,3009499,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,F222920050030,SPINDLE,AML,22/09/2020,4/11/2020,,,28,1,,31,0,0,0
